movie name,,,keywords
Spotlight,1,2015,"['child abuse', 'journalism', 'judge', 'florida', 'boston', 'pedophilia', 'court', 'cover-up', 'priest', 'lawyer', 'catholic', 'catholic church', 'catholicism', 'september 11 2001', 'investigative journalism', 'cardinal', 'christmas']"
Room,0,2015,"['based on novel', 'carpet', 'isolation', 'kidnapping', 'imprisonment', 'grandparents', 'escape', 'hospital', 'dog', 'captive', 'mother son relationship', 'shed', 'skylight']"
The Revenant,0,2015,"['police', 'vigilante', 'blood', 'gangster', 'revenant']"
The Martian,0,2015,"['based on novel', 'mars', 'nasa', 'isolation', 'botanist', 'stranded', 'spaceship', 'space', 'engineering', 'survival', 'astronaut', 'science', 'deep space explorer', 'duringcreditsstinger', 'battle for survival']"
Mad Max: Fury Road,0,2015,"['future', 'chase', 'post-apocalyptic', 'dystopia', 'australia', 'rescue', 'survival', 'on the run', 'convoy', 'peak oil', 'dark future']"
Bridge of Spies,0,2015,"['spy', 'cia', 'cold war', 'soviet union', 'pilot', 'lawyer', 'american']"
The Big Short,0,2015,"['bank', 'fraud', 'biography', 'wall street', 'finances', 'based on true story', 'animated sequence', 'breaking the fourth wall', 'loan', 'financial crisis', 'real estate', 'mortgage']"
Spotlight,0,2015,"['child abuse', 'journalism', 'judge', 'florida', 'boston', 'pedophilia', 'court', 'cover-up', 'priest', 'lawyer', 'catholic', 'catholic church', 'catholicism', 'september 11 2001', 'investigative journalism', 'cardinal', 'christmas']"
Brooklyn,0,2015,"['love triangle', 'based on novel', 'homesickness', 'vororte', 'ship', 'community', 'marriage', 'working class', 'boarding house', 'ireland', 'brooklyn new york city', 'journey', 'dual life', 'irish immigrant', '1950s']"
Fences,0,2016,"['father', 'based on play or musical', 'racism', 'african american', 'pittsburgh', '1950s', 'struggle']"
Arrival,0,2016,"['spacecraft', 'language', 'loss', 'romance', 'alien', 'female protagonist', 'scientist', 'family', 'heartbreak', 'based on short story', 'nonlinear timeline', 'military', 'alien language', 'linguist', 'first contact', 'communication', 'linguistics']"
Moonlight,0,2016,"['gay', 'drug abuse', 'florida', 'fight', 'drug addiction', 'restaurant', 'drug dealer', 'high school', 'homosexuality', 'coming of age', 'african american', 'mother son relationship', 'lgbt', 'addict', 'black lgbt']"
Hacksaw Ridge,0,2016,"['japan', 'world war ii', 'violent father', 'pacifism', 'bible', 'biography', 'war', 'conscientious objector', 'based on true story', 'gore', 'religion', 'soldier', 'religious', 'alcoholic', 'war hero', 'medic', 'u.s. military', 'based on true events', 'historical drama', '1940s']"
Hell or High Water,0,2016,"['desperation', 'texas', 'bank robber', 'brother', 'shooting', 'car set on fire', 'gun battle', 'police officer killed', 'criminal', 'held at gunpoint', 'police car', 'small western town', 'saying goodbye', 'bullet hole in windscreen']"
Hidden Figures,0,2016,"['nasa', 'sexism', 'biography', 'mathematics', 'racial segregation', 'racism', 'scientist', 'space race', 'black woman', 'u.s. space program', 'discrimination', '1960s']"
La La Land,0,2016,"['jazz', 'dance', 'passion', 'musical', 'casting', 'los angeles', 'pianist', 'theater', 'movie set', 'actress']"
Lion,0,2016,"['based on novel', 'indian lead', 'adoption', 'australia', 'based on true story', 'india', 'missing child', 'long lost relative', 'tasmania', 'passenger train', 'street child']"
Manchester by the Sea,0,2016,"['sadness', 'boston', 'massachusetts', 'funeral', 'loss', 'grief', 'dysfunctional family', 'hospital', 'death', 'nephew', 'mental health', 'family tragedy', 'legal guardian', 'dysfunctional life']"
Moonlight,1,2016,"['gay', 'drug abuse', 'florida', 'fight', 'drug addiction', 'restaurant', 'drug dealer', 'high school', 'homosexuality', 'coming of age', 'african american', 'mother son relationship', 'lgbt', 'addict', 'black lgbt']"
Call Me by Your Name,0,2017,"['italy', 'based on novel', 'love', 'gay relationship', 'summer', 'teenage boy', 'lgbt']"
Dunkirk,0,2017,"['evacuation', 'sacrifice', 'survival', 'dunkirk']"
Get Out,0,2017,"['externally controlled action', 'parents-in-law', 'satire', 'dark comedy', 'interracial relationship', 'disappearance', 'racism', 'african american', 'stereotype', 'police harassment', 'missing', 'race-conscious']"
